dataset,date,model,dynamic_regret
NBS national continuation,2023-01-01,Static empirical q90,0.076069111667952
NBS national continuation,2023-01-01,Fixed-persistence gate,0.0021840873488091
NBS national continuation,2023-01-01,Global conformal (12m),0.0529179783524661
NBS national continuation,2023-01-01,Pure hierarchical conformal,0.0
NBS national continuation,2023-01-01,Stress-override inertial expert mixture,0.0111119946961721
NBS national continuation,2023-02-01,Static empirical q90,0.088961688068435
NBS national continuation,2023-02-01,Fixed-persistence gate,0.088961688068435
NBS national continuation,2023-02-01,Global conformal (12m),0.03590182559752
NBS national continuation,2023-02-01,Pure hierarchical conformal,0.0
NBS national continuation,2023-02-01,Stress-override inertial expert mixture,0.0123228179148703
NBS national continuation,2023-03-01,Static empirical q90,0.0
NBS national continuation,2023-03-01,Fixed-persistence gate,0.0
NBS national continuation,2023-03-01,Global conformal (12m),0.0073133115965652
NBS national continuation,2023-03-01,Pure hierarchical conformal,0.0017174351787064
NBS national continuation,2023-03-01,Stress-override inertial expert mixture,-0.1986749931839753
NBS national continuation,2023-04-01,Static empirical q90,0.0
NBS national continuation,2023-04-01,Fixed-persistence gate,0.0
NBS national continuation,2023-04-01,Global conformal (12m),0.9329315314684976
NBS national continuation,2023-04-01,Pure hierarchical conformal,1.6262262633611106
NBS national continuation,2023-04-01,Stress-override inertial expert mixture,0.1825174007982566
NBS national continuation,2023-05-01,Static empirical q90,0.0
NBS national continuation,2023-05-01,Fixed-persistence gate,0.0
NBS national continuation,2023-05-01,Global conformal (12m),0.8942391572809214
NBS national continuation,2023-05-01,Pure hierarchical conformal,1.364735239394001
NBS national continuation,2023-05-01,Stress-override inertial expert mixture,0.4849667299412807
NBS national continuation,2023-06-01,Static empirical q90,0.0
NBS national continuation,2023-06-01,Fixed-persistence gate,0.1686532156906768
NBS national continuation,2023-06-01,Global conformal (12m),0.0072969151462416
NBS national continuation,2023-06-01,Pure hierarchical conformal,0.0207491737967187
NBS national continuation,2023-06-01,Stress-override inertial expert mixture,0.0136092109935468
NBS national continuation,2023-07-01,Static empirical q90,0.7182509907143504
NBS national continuation,2023-07-01,Fixed-persistence gate,0.0
NBS national continuation,2023-07-01,Global conformal (12m),0.4424226937730506
NBS national continuation,2023-07-01,Pure hierarchical conformal,0.1104129695032951
NBS national continuation,2023-07-01,Stress-override inertial expert mixture,0.0560178492513472
NBS national continuation,2023-08-01,Static empirical q90,9.350902961569794
NBS national continuation,2023-08-01,Fixed-persistence gate,0.0
NBS national continuation,2023-08-01,Global conformal (12m),7.62437347143058
NBS national continuation,2023-08-01,Pure hierarchical conformal,6.148788361659641
